ORG_ID,ORG_NAME,ZCTA,Distance,TravelTime,DANCENYC_Budget_Size,DANCENYC_Discipline,NYC_MARKER,Org_ADDRESS,Org_Zip_Code,Org_City,Org_State,lng,lat,ZCTA_lng,ZCTA_lat
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11215,8.82,45,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.98682734,40.66239508
4901,Opus Dance Theatre & Community Services Inc.,10035,1.68,25,2,Educational,Manhattan,1486 5th Avenue Suite 2S New York,10035-2703,Manhattan,NY,-73.94495267,40.80288941,-73.92973093,40.79565225
4941,Battery Dance Corporation,10017,3.17,22,3,Dance Maker,Manhattan,380 Broadway 5th Fl New York,10013-6027,Manhattan,NY,-74.003648,40.720024,-73.97241689,40.75234677
4945,"Ice Theatre of New York, Inc.",10011,0.06,1,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-74.00059401,40.74200174
4945,"Ice Theatre of New York, Inc.",10019,2.42,18,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.98706746,40.76579302
4945,"Ice Theatre of New York, Inc.",10030,6.77,34,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.94285637,40.81826656
4945,"Ice Theatre of New York, Inc.",10075,4.78,29,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.95620808,40.77335653
4945,"Ice Theatre of New York, Inc.",11375,10.87,41,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.84615107,40.72093404
4960,Paul Taylor Dance Foundation,10002,0.31,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98625797,40.71576191
4960,Paul Taylor Dance Foundation,10002,0.31,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98625797,40.71576191
4960,Paul Taylor Dance Foundation,10002,0.31,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98625797,40.71576191
4960,Paul Taylor Dance Foundation,10010,2.49,35,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98223161,40.73904486
4960,Paul Taylor Dance Foundation,10011,3.36,28,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-74.00059401,40.74200174
4960,Paul Taylor Dance Foundation,10011,3.36,28,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-74.00059401,40.74200174
