ORG_ID,ORG_NAME,ZCTA,Distance,TravelTime,DANCENYC_Budget_Size,DANCENYC_Discipline,NYC_MARKER,Org_ADDRESS,Org_Zip_Code,Org_City,Org_State,lng,lat,ZCTA_lng,ZCTA_lat,orgid,orgname,avg_td,med_td,avg_tt,med_tt
4694,"New Dance Alliance, Inc.",10013,0.500000000000000,8,1,Service,Manhattan,"182 Duane Street, 3rd fl.  New York",10013-6605,Manhattan,NY,-74.010123590000006,40.717077690000004,-74.004927690000002,40.720107040000002,4694,"New Dance Alliance, Inc.",0.500000000000000,0.500000000000000,8.000000000000000,8.000000000000000
4757,"Dance Notation Bureau, Inc.",10013,1.300000000000000,12,2,Service,Manhattan,111 John Street Rm. 704 New York,10038-3123,Manhattan,NY,-74.005585440000004,40.707752050000003,-74.004927690000002,40.720107040000002,4757,"Dance Notation Bureau, Inc.",2.550000000000000,1.300000000000000,17.329999999999998,12.000000000000000
4757,"Dance Notation Bureau, Inc.",10013,1.300000000000000,12,2,Service,Manhattan,111 John Street Rm. 704 New York,10038-3123,Manhattan,NY,-74.005585440000004,40.707752050000003,-74.004927690000002,40.720107040000002,4757,"Dance Notation Bureau, Inc.",2.550000000000000,1.300000000000000,17.329999999999998,12.000000000000000
4757,"Dance Notation Bureau, Inc.",10022,5.030000000000000,28,2,Service,Manhattan,111 John Street Rm. 704 New York,10038-3123,Manhattan,NY,-74.005585440000004,40.707752050000003,-73.967817109999999,40.758554789999998,4757,"Dance Notation Bureau, Inc.",2.550000000000000,1.300000000000000,17.329999999999998,12.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10001,3.230000000000000,25,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.997280820000000,40.750671980000000,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10011,2.170000000000000,20,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-74.000594010000000,40.742001739999999,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10019,4.100000000000000,26,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.987067460000006,40.765793019999997,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10021,4.600000000000000,30,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.958630110000001,40.769158630000000,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10022,3.670000000000000,24,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.967817109999999,40.758554789999998,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10036,3.790000000000000,24,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.989909429999997,40.759280439999998,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",10038,0.620000000000000,12,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-74.002532360000004,40.709320349999999,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",11354,13.300000000000001,65,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.827072070000000,40.768656219999997,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4781,"H.T. Dance Company, Inc./Chen Dance Center",11372,9.690000000000000,48,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.998929009999998,40.716050129999999,-73.883638039999994,40.751689730000002,4781,"H.T. Dance Company, Inc./Chen Dance Center",5.020000000000000,3.790000000000000,30.440000000000001,25.000000000000000
4834,"Trisha Brown Company, Inc.",10461,13.170000000000000,66,4,Dance Maker,Manhattan,341 West 38th Street Suite 801 New York,10018-2918,Manhattan,NY,-73.993385500000002,40.755704690000002,-73.840553580000005,40.847434489999998,4834,"Trisha Brown Company, Inc.",13.170000000000000,13.170000000000000,66.000000000000000,66.000000000000000
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10011,1.680000000000000,8,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.988050130000005,40.756812400000001,-74.000594010000000,40.742001739999999,4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.230000000000000,3.170000000000000,22.820000000000000,14.000000000000000
